userId,artId,rating
1,2,5.0
1,9,5.0
1,18,4.0
1,19,3.0
1,24,2.0
1,26,1.0
1,28,4.0
1,33,5.0
1,34,3.0
1,37,5.0
1,40,5.0
1,41,3.0
1,44,4.0
1,47,2.0
1,50,5.0
1,54,3.0
1,57,4.0
1,60,4.0
1,61,2.0
1,62,3.0
2,2,4.0
2,9,3.0
2,18,5.0
2,19,5.0
2,24,4.0
2,26,5.0
2,28,3.0
2,33,3.0
2,34,3.0
2,37,5.0
2,40,5.0
2,41,3.0
2,44,1.0
2,47,3.0
2,50,4.0
2,54,2.0
2,57,3.0
2,60,2.0
2,61,1.0
2,62,4.0
3,2,5.0
3,9,4.0
3,18,5.0
3,19,4.0
3,24,2.0
3,26,2.0
3,28,5.0
3,33,3.0
3,34,2.0
3,37,5.0
3,40,3.0
3,41,1.0
3,44,3.0
3,47,3.0
3,50,4.0
3,54,1.0
3,57,5.0
3,60,4.0
3,61,2.0
3,62,5.0
4,2,5.0
4,9,5.0
4,18,3.0
4,19,1.0
4,24,2.0
4,26,3.0
4,28,5.0
4,33,4.0
4,34,3.0
4,37,5.0
4,40,5.0
4,41,3.0
4,44,4.0
4,47,1.0
4,50,4.0
4,54,2.0
4,57,5.0
4,60,4.0
4,61,3.0
4,62,4.0
5,2,4.0
5,9,5.0
5,18,5.0
5,19,4.0
5,24,2.0
5,26,2.0
5,28,3.0
5,33,1.0
5,34,1.0
5,37,4.0
5,40,3.0
5,41,1.0
5,44,1.0
5,47,2.0
5,50,1.0
5,54,1.0
5,57,2.0
5,60,3.0
5,61,4.0
5,62,5.0
6,2,5.0
6,9,5.0
6,18,5.0
6,19,3.0
6,24,1.0
6,26,1.0
6,28,5.0
6,33,5.0
6,34,4.0
6,37,1.0
6,40,3.0
6,41,1.0
6,44,3.0
6,47,1.0
6,50,5.0
6,54,1.0
6,57,5.0
6,60,1.0
6,61,5.0
6,62,5.0
7,2,4.0
7,9,5.0
7,18,5.0
7,19,3.0
7,24,2.0
7,26,4.0
7,28,5.0
7,33,5.0
7,34,3.0
7,37,5.0
7,40,4.0
7,41,3.0
7,44,4.0
7,47,4.0
7,50,4.0
7,54,2.0
7,57,5.0
7,60,5.0
7,61,5.0
7,62,5.0
8,2,5.0
8,9,3.0
8,18,2.0
8,19,2.0
8,24,2.0
8,26,2.0
8,28,4.0
8,33,5.0
8,34,1.0
8,37,4.0
8,40,1.0
8,41,1.0
8,44,2.0
8,47,2.0
8,50,2.0
8,54,1.0
8,57,4.0
8,60,3.0
8,61,1.0
8,62,2.0
9,2,3.0
9,9,4.0
9,18,4.0
9,19,3.0
9,24,2.0
9,26,2.0
9,28,2.0
9,33,1.0
9,34,3.0
9,37,4.0
9,40,4.0
9,41,1.0
9,44,1.0
9,47,1.0
9,50,3.0
9,54,2.0
9,57,3.0
9,60,3.0
9,61,1.0
9,62,4.0
10,2,5.0
10,9,5.0
10,18,4.0
10,19,4.0
10,24,2.0
10,26,2.0
10,28,5.0
10,33,5.0
10,34,2.0
10,37,5.0
10,40,5.0
10,41,3.0
10,44,5.0
10,47,2.0
10,50,3.0
10,54,2.0
10,57,4.0
10,60,3.0
10,61,3.0
10,62,5.0
11,2,5.0
11,9,5.0
11,18,3.0
11,19,2.0
11,24,2.0
11,26,3.0
11,28,5.0
11,33,2.0
11,34,4.0
11,37,5.0
11,40,2.0
11,41,4.0
11,44,2.0
11,47,3.0
11,50,5.0
11,54,3.0
11,57,3.0
11,60,4.0
11,61,2.0
11,62,5.0
12,2,4.0
12,9,5.0
12,18,4.0
12,19,5.0
12,24,2.0
12,26,4.0
12,28,5.0
12,33,5.0
12,34,4.0
12,37,5.0
12,40,5.0
12,41,4.0
12,44,5.0
12,47,5.0
12,50,5.0
12,54,4.0
12,57,4.0
12,60,5.0
12,61,5.0
12,62,5.0
13,2,4.0
13,9,5.0
13,18,5.0
13,19,5.0
13,24,3.0
13,26,3.0
13,28,4.0
13,33,2.0
13,34,5.0
13,37,5.0
13,40,2.0
13,41,3.0
13,44,1.0
13,47,3.0
13,50,5.0
13,54,4.0
13,57,2.0
13,60,5.0
13,61,5.0
13,62,5.0
14,2,5.0
14,9,5.0
14,18,5.0
14,19,5.0
14,24,3.0
14,26,3.0
14,28,5.0
14,33,4.0
14,34,4.0
14,37,4.0
14,40,3.0
14,41,5.0
14,44,4.0
14,47,5.0
14,50,4.0
14,54,3.0
14,57,4.0
14,60,5.0
14,61,4.0
14,62,5.0
15,2,5.0
15,9,5.0
15,18,5.0
15,19,4.0
15,24,3.0
15,26,1.0
15,28,4.0
15,33,4.0
15,34,3.0
15,37,5.0
15,40,5.0
15,41,2.0
15,44,3.0
15,47,2.0
15,50,4.0
15,54,3.0
15,57,3.0
15,60,4.0
15,61,3.0
15,62,3.0
16,2,3.0
16,9,4.0
16,18,5.0
16,19,3.0
16,24,4.0
16,26,4.0
16,28,5.0
16,33,3.0
16,34,5.0
16,37,5.0
16,40,5.0
16,41,3.0
16,44,3.0
16,47,4.0
16,50,4.0
16,54,4.0
16,57,5.0
16,60,5.0
16,61,5.0
16,62,5.0
17,2,5.0
17,9,4.0
17,18,5.0
17,19,5.0
17,24,3.0
17,26,3.0
17,28,5.0
17,33,3.0
17,34,2.0
17,37,3.0
17,40,1.0
17,41,3.0
17,44,1.0
17,47,4.0
17,50,5.0
17,54,2.0
17,57,2.0
17,60,3.0
17,61,2.0
17,62,4.0
18,2,5.0
18,9,3.0
18,18,5.0
18,19,5.0
18,24,4.0
18,26,5.0
18,28,4.0
18,33,5.0
18,34,5.0
18,37,5.0
18,40,3.0
18,41,3.0
18,44,4.0
18,47,3.0
18,50,5.0
18,54,5.0
18,57,5.0
18,60,5.0
18,61,5.0
18,62,5.0
19,2,5.0
19,9,5.0
19,18,5.0
19,19,5.0
19,24,4.0
19,26,2.0
19,28,5.0
19,33,2.0
19,34,2.0
19,37,5.0
19,40,5.0
19,41,4.0
19,44,5.0
19,47,5.0
19,50,5.0
19,54,4.0
19,57,5.0
19,60,5.0
19,61,5.0
19,62,5.0
20,2,3.0
20,9,5.0
20,18,5.0
20,19,5.0
20,24,4.0
20,26,2.0
20,28,3.0
20,33,4.0
20,34,3.0
20,37,4.0
20,40,3.0
20,41,3.0
20,44,2.0
20,47,4.0
20,50,4.0
20,54,3.0
20,57,5.0
20,60,3.0
20,61,2.0
20,62,3.0
21,2,4.0
21,9,3.0
21,18,5.0
21,19,2.0
21,24,1.0
21,26,1.0
21,28,3.0
21,33,2.0
21,34,2.0
21,37,5.0
21,40,2.0
21,41,1.0
21,44,1.0
21,47,2.0
21,50,1.0
21,54,1.0
21,57,4.0
21,60,2.0
21,61,2.0
21,62,5.0
